# Rydberg Spin Chain Adiabatic Preparation Results
# Protocol Stage 3 (T3) Analysis

# Simulation Parameters
Parameter,Value,Description
System_size_N,11,Number of atoms in chain
Vdd,2000000.0,Interaction strength
Number_of_simulations,100,Runs per data point
System_size_N,15,Number of atoms in chain
Vdd,2000000.0,Interaction strength
Number_of_simulations,100,Runs per data point
System_size_N,21,Number of atoms in chain
Vdd,160000.0,Interaction strength
Number_of_simulations,100,Runs per data point
System_size_N,31,Number of atoms in chain
Vdd,2000000.0,Interaction strength
Number_of_simulations,100,Runs per data point
System_size_N,11,Number of atoms in chain
Vdd,2000000.0,Interaction strength

# Clean (Noiseless) Preparation Results for 11 sites
Ramp_time_T3,Final_Energy_per_site,Final_Fidelity,Ground_state_energy_per_site
9.0,0.049407854949299335,0.2525847851338065,-0.5385558517565283
30.0,0.014197807442046573,0.7551192932060206,-0.5385558517565283
45.0,0.007521616985724733,0.8697064401652587,-0.5385558517565283
60.0,0.003769673482129088,0.9344815043445414,-0.5385558517565283
90.0,0.0009787782972897618,0.9829312042609092,-0.5385558517565283
120.0,0.0002140243716215462,0.9962110320499625,-0.5385558517565283
150.0,5.8238358103368526e-05,0.998924092123947,-0.5385558517565283
180.0,2.191557325736948e-05,0.9995593875562843,-0.5385558517565283
225.0,4.20572694515009e-06,0.9998747361280359,-0.5385558517565283
250.0,2.1461095743857683e-06,0.9999137221434969,-0.5385558517565283
300.0,2.352300122465678e-07,0.9999517821439721,-0.5385558517565283

# Noisy Preparation Results by System Size
# System Size N = 11
Ramp_time_T3,Avg_Energy_per_site,Energy_error,Avg_Fidelity,Fidelity_error,Num_simulations,Ground_state_energy_per_site
Ramp_time_T3,Avg_Energy_per_site,Energy_error,Avg_Fidelity,Fidelity_error,Num_simulations,Ground_state_energy_per_site
9.0,0.0495253068585943,3.1122578110694344e-05,0.1198817654858225,0.0001046897488365398,100,-0.5224967243804458
30.0,0.02118989815965755,0.00014451704845052523,0.5113559520998094,0.0017010855665519394,76,-0.5224967243804458
45.0,0.016136781340178485,0.0001968603732795935,0.6354061111627631,0.0027660568358245713,100,-0.5224967243804458
60.0,0.013145376981099521,0.0002571742872373214,0.7144403241837813,0.0038767571056043506,100,-0.5224967243804458
90.0,0.009901331630177479,0.0004116161275324392,0.8046706780264631,0.006544873671297179,100,-0.5224967243804458
120.0,0.009238575867773768,0.000491228370162958,0.8314789582997613,0.007951769186780339,100,-0.5224967243804458
150.0,0.009910474380053547,0.0005981630138576679,0.8287809114709063,0.009527280857514095,100,-0.5224967243804458
225.0,0.01305035889262407,0.0007501444842084005,0.7886411088608112,0.011697668846730088,100,-0.5224967243804458
250.0,0.015162418558332114,0.0008730276365582016,0.7566186944383329,0.013478913134181456,100,-0.5224967243804458
300.0,0.016856427647739425,0.0009664407142938544,0.7360071152039522,0.014892855790947736,99,-0.5224967243804458
360.0,0.021453984561742745,0.0009893241260738152,0.6644573271588142,0.014748807012815885,100,-0.5224967243804458
450.0,0.0291861109793195,0.001416899162138332,0.5717268094539786,0.01785334047359811,100,-0.5224967243804458

# System Size N = 21
Ramp_time_T3,Avg_Energy_per_site,Energy_error,Avg_Fidelity,Fidelity_error,Num_simulations,Ground_state_energy_per_site
9.0,0.04926578885782318,4.2006647847135154e-05,0.03935363113155625,6.776650908843829e-05,100,-0.5097959653485928
30.0,0.022656021107928748,0.0001173548046102048,0.2914057126105455,0.0012294884971119577,100,-0.5097959653485928
45.0,0.01916731977894659,0.00016959696537204917,0.39623788328124876,0.002475704644500779,100,-0.5097959653485928
60.0,0.016840974838338185,0.0002257478029947821,0.4765941993046781,0.0036265829286244327,100,-0.5097959653485928
90.0,0.014225511409235836,0.00035378294524668786,0.5875724860692083,0.0064879744056057205,99,-0.5097959653485928
120.0,0.013669235091583132,0.0005813174684641895,0.6358871205726315,0.010526706588706624,98,-0.5097959653485928
150.0,0.013479675127536672,0.000708601523888923,0.6644684339746387,0.013090379488125015,98,-0.5097959653485928
150.0,0.013479675127536672,0.000708601523888923,0.6644684339746387,0.013090379488125015,98,-0.5097959653485928
180.0,0.014856425441096999,0.0007915813226936263,0.6550473826682083,0.014238404850420137,100,-0.5097959653485928
225.0,0.017351849718850287,0.0015582599912027175,0.625079736664506,0.02978995569763965,35,-0.5097959653485928
300.0,0.020353442557258794,0.0010506888863550513,0.5752499025390525,0.019143051822980563,100,-0.5097959653485928

# System Size N = 31
Ramp_time_T3,Avg_Energy_per_site,Energy_error,Avg_Fidelity,Fidelity_error,Num_simulations,Ground_state_energy_per_site
9.0,0.04881635167781018,3.522873628301754e-05,0.006228757674700916,1.33612326159985e-05,100,-0.499496841949815
30.0,0.022830842287910547,0.0002703709532469848,0.11471444381660675,0.0016299243327583034,34,-0.499496841949815
45.0,0.018998805263287566,0.0001425381170315093,0.18744054680240715,0.0014876204885287023,70,-0.499496841949815
90.0,0.016189003949065528,0.00029627244656696563,0.32427688358186835,0.0048917714820211145,100,-0.499496841949815
120.0,0.015252404322773694,0.0004271916739715388,0.38866415312842145,0.00751521412959191,100,-0.499496841949815
180.0,0.015712657776797756,0.0005579510138113273,0.44189784482197203,0.01129076378349794,100,-0.499496841949815
225.0,0.017228186690339042,0.0007249344430350844,0.45180279294311626,0.01348696379784771,100,-0.499496841949815
300.0,0.02696796434560983,0.0011983253830855848,0.3642952798879049,0.01547220591764028,99,-0.499496841949815

# Optimal Preparation Points
System_size_N,Optimal_ramp_time,Max_fidelity,Energy_at_max_fidelity,Ground_state_energy_per_site
15,135.0,0.8301299348853337,0.009574525123913658,-0.5224967243804458
21,150.0,0.6644684339746387,0.013479675127536672,-0.5097959653485928
31,225.0,0.45180279294311626,0.017228186690339042,-0.499496841949815
11,105.0,0.9040518819967832,0.007428970026058024,-0.5385558517565283
